stage,epoch,train_loss,train_acc,val_top1,val_top5,val_with_top1,val_with_top5,val_without_top1,val_without_top5,lr
1,1,3.4619744286368306,0.2951096121416526,0.5072463768115942,0.6859903381642513,0.673202614379085,0.8823529411764706,0.037037037037037035,0.12962962962962962,0.001
1,2,1.9918470736498777,0.6011804384485666,0.6038647342995169,0.7342995169082126,0.7843137254901961,0.9477124183006536,0.09259259259259259,0.12962962962962962,0.001
1,3,1.501366523626884,0.6871838111298483,0.642512077294686,0.748792270531401,0.8366013071895425,0.9673202614379085,0.09259259259259259,0.12962962962962962,0.001
2,4,0.9618079662322998,0.75,0.6811594202898551,0.8019323671497585,0.8823529411764706,0.9803921568627451,0.1111111111111111,0.2962962962962963,0.0001
2,5,0.5574316925936164,0.8452782462057336,0.7053140096618358,0.8309178743961353,0.8888888888888888,0.9803921568627451,0.18518518518518517,0.4074074074074074,0.0001
2,6,0.3488277441132531,0.8965008431703204,0.7004830917874396,0.821256038647343,0.8823529411764706,0.9803921568627451,0.18518518518518517,0.37037037037037035,0.0001
2,7,0.21880314425010905,0.9418212478920742,0.7053140096618358,0.8260869565217391,0.9019607843137255,0.9869281045751634,0.14814814814814814,0.37037037037037035,0.0001
2,8,0.13859194192978824,0.9652192242833052,0.714975845410628,0.8309178743961353,0.9150326797385621,0.9803921568627451,0.14814814814814814,0.4074074074074074,0.0001
2,9,0.10216094086081745,0.9753372681281619,0.7198067632850241,0.821256038647343,0.9150326797385621,0.9738562091503268,0.16666666666666666,0.3888888888888889,0.0001
2,10,0.08320686969950067,0.9787099494097807,0.7004830917874396,0.8067632850241546,0.8954248366013072,0.9738562091503268,0.14814814814814814,0.3333333333333333,0.0001
2,11,0.05912182682380709,0.9860876897133221,0.7053140096618358,0.8115942028985508,0.9019607843137255,0.9738562091503268,0.14814814814814814,0.35185185185185186,0.0001
2,12,0.055303087800389394,0.9867200674536256,0.7246376811594203,0.8309178743961353,0.9215686274509803,0.9738562091503268,0.16666666666666666,0.42592592592592593,0.0001
